repo,lang,typeCount,executableCount,fieldCount,interfaceCount,abstractCount,typesWithSuper,typesWithInterfaces
braydenanderson2014__C-Arduino-Libraries,C++,23,349,82,0,0,0,0
casefc3s__UnrealMultithreadingDemo,C++,5,10,18,0,0,0,0
chengruiz__stepit,C++,194,290,244,0,4,37,0
chizy7__PinnacleMM,C++,482,1953,976,0,13,79,0
Chowdhury-DSP__wdf_compiler,C++,216,363,300,0,5,37,0
cinogama__joyengine,C++,552,1578,1077,0,11,68,0
codewitch-honey-crisis__uix,C++,7,56,13,0,2,1,0
collyn__skey,C++,202,398,281,0,4,35,0
condy-cpp__condy,C++,335,671,373,0,10,63,0
CoolProp__CoolSolve,C++,341,742,456,0,10,68,0
CrispStrobe__CrispEmbed,C++,637,1056,4450,0,9,60,0
dbrizov__hob2d,C++,350,1182,531,0,6,56,0
dddqmmx__arirang,C++,289,524,452,0,4,50,0
deeptexas-ai__masterai-holdem-1v1-1v9,C++,583,7734,1487,0,5,40,0
devzendo__transputer-emulator,C++,268,741,352,0,14,66,2
DigitalPulseSoftware__ThisSpaceOfMine,C++,375,749,547,0,5,45,0
dmalhotra__SCTL,C++,254,458,373,0,4,40,0
Drawmwm__WindowsShell-Injector-Shellcode-Loader,C++,156,237,295,0,4,33,0
dskkato__ros2_cuda_ipc,C++,260,443,335,0,7,39,0
dtcxzyw__llvm-mutation-based-fuzz-service,C++,202,482,272,0,4,40,0
eisenwave__cowel,C++,550,1387,700,0,11,87,0
ekkuleivonen__ducklake-cdc-extension,C++,234,330,479,0,4,35,0
Ekozmaster__Vibe-Reverse-Engineering,C++,253,795,348,0,4,47,0
enactic__openarm_can,C++,202,376,299,0,5,40,0
EnderMo__PoggetCore,C++,260,548,425,0,5,46,0
esp32m__core,C++,519,1917,633,0,25,77,0
facebookincubator__axiom,C++,1205,7356,1412,0,35,466,0
fcitx-contrib__fcitx5-mozc,C++,128,130,158,0,2,24,0
flagos-ai__flir,C++,274,435,227,0,4,37,0
floppyhammer__pathfinder-cpp,C++,408,1011,736,0,14,86,0
fourthlogic__FLImagingExamplesCpp,C++,222,536,308,0,4,34,0
GlomarGadaffi__pocket-dial,C++,321,859,482,0,6,70,0
gorkemgun__ksu-frida,C++,275,489,351,0,10,51,0
GuntherRademacher__rex-parser-generator,C++,340,1830,693,0,12,108,0
HaniAmmar__Qentem-Engine,C++,51,63,194,0,0,0,0
heimdallr__books,C++,601,1910,581,0,45,146,6
Helldez__BigMoeOnEdge,C++,215,370,313,0,4,35,0
hitchopen__HOPE,C++,461,1362,867,0,17,77,0
horsicq__die_library,C++,1,17,0,0,0,0,0
horsicq__XLEViewer,C++,3,12,0,0,0,0,0
horsicq__XMSDOSViewer,C++,4,13,5,0,0,0,0
hotdata-dev__duckdb_extension_parser_tools,C++,116,70,180,0,1,10,0
huangminghuang__hpp-proto,C++,505,1227,567,0,4,63,5
IAmTheFool__flux,C++,407,2381,1373,0,6,81,0
Incognitol07__react-native-openwakeword,C++,177,152,247,0,3,28,0
InfiniTensor__InfiniCCL,C++,181,250,222,0,4,34,0
IvanMurzak__Unreal-MCP,C++,198,483,402,0,4,34,0
Jancema__ShellCode-Elevator-Uac-Bypass-Inject-Any-X64-fud,C++,0,0,0,0,0,0,0
jarulraj__buzzdb,C++,783,1849,1716,0,18,115,0
Jazeredz__DLL-Hijacking-Vulnerability-Scanner,C++,227,518,402,0,4,42,0
jlobue10__rEFInd_GUI,C++,115,140,147,0,1,14,0
joaospinto__sip,C++,197,266,350,0,4,35,0
JuPfu__hub75,C++,219,533,319,0,6,47,0
kapi1525__NoiseExtension,C++,454,1229,1672,0,8,65,0
KDE__kuserfeedback,C++,286,694,336,0,5,58,0
kernelwernel__llarm,C++,285,837,940,0,4,42,0
Laeteth__advanced-anti-sandbox-Virtual-Machine,C++,246,693,348,0,8,56,0
leggedrobotics__robot_self_filter,C++,193,346,255,0,4,37,0
llnl__dftracer,C++,246,541,344,0,4,55,0
Luecx__FEMaster,C++,415,1439,725,0,15,101,1
luigifcruz__blade,C++,164,202,220,0,2,28,0
lynx-family__debug-router,C++,353,1224,378,0,26,99,0
lynx-family__lynxtron,C++,361,974,385,0,10,50,0
m5stack__M5-DLight,C++,1,8,0,0,0,0,0
MartensCedric__antipodal,C++,252,549,387,0,7,48,1
masterai-top__cfr-poker-ai-masterai,C++,318,613,316,0,10,65,2
MetaversalCorp__Sneeze,C++,327,766,461,0,10,53,0
mitra42__frugal-iot,C++,135,384,282,0,1,45,0
Mizux__python-native,C++,144,255,173,0,4,33,0
mudler__vllm.cpp,C++,481,1048,751,0,10,76,0
myriadrf__LimeSuiteNG,C++,444,1788,3248,0,8,78,0
n-mam__offset,C++,424,1129,910,0,12,85,0
ne-app-eu__krnl,C++,219,349,298,0,4,33,0
NetKit-Labs__memkit,C++,278,569,511,0,2,29,0
NiobiumInc__niobium-haze,C++,267,584,347,0,4,42,0
NIRALUser__SPHARM-PDM,C++,216,610,291,0,4,35,0
NVIDIA__nsmd,C++,1856,3385,4528,0,36,377,2
Omniflux__esphome-fujitsu-halcyon,C++,145,166,240,0,2,15,0
Open-CMSIS-Pack__devtools,C++,312,726,366,0,4,57,0
openbmc__openpower-vpd-parser,C++,346,964,352,0,12,81,0
openbmc__pldm,C++,457,1591,660,0,20,137,0
opendcdiag__opendcdiag,C++,366,901,712,0,6,51,0
openharmony__communication_dsoftbus,C++,1279,10053,1052,0,140,247,0
openJiuwen-ai__agent-protocol,C++,689,1539,816,0,21,123,0
openlab-x__OpenCircuitX,C++,197,627,307,0,3,16,0
ospray__anari-ospray,C++,298,627,327,0,11,88,0
pafuhana1213__FrameGrabberSample,C++,0,0,0,0,0,0,0
Palm1r__llmqore,C++,237,294,290,0,3,44,0
parihaaraka__sqt,C++,163,424,186,0,3,17,0
PeterRK__protocache,C++,269,716,392,0,4,46,0
PierreSenellart__provsql,C++,411,1176,762,0,7,81,0
Power-Supply-Manufacturers-Association__MAS,C++,188,401,251,0,4,38,0
ptr727__ESPHome-Config,C++,0,0,0,0,0,0,0
qr-rp__GO_Midi,C++,335,953,387,0,10,67,0
qulacs__scaluq,C++,280,408,312,0,4,39,0
randovania__py-dolphin-memory-engine,C++,150,327,183,0,5,36,0
robotdyn-dimmer__ACRouter,C++,83,59,122,0,1,10,0
romanpauk__dingo,C++,457,212,400,0,12,64,2
rt-net__raspimouse_ros2_examples,C++,195,308,250,0,4,34,0
ruoka__net4cpp,C++,0,0,0,0,0,0,0
schrodinger__sketcher,C++,310,487,400,0,4,53,0
scitix__InstantTensor,C++,293,534,426,0,10,51,0
severinstrobl__overlap,C++,185,271,257,0,4,38,0
shiguredo__sora-cpp-sdk,C++,271,542,382,0,4,53,0
shodowlo__NX-torrent-player,C++,1610,3088,5455,0,40,146,1
SMBU-PolarBear-Robotics-Team__pb_omni_pid_pursuit_controller,C++,98,114,128,0,2,14,0
SMBU-PolarBear-Robotics-Team__small_gicp_relocalization,C++,97,93,128,0,2,14,0
spicelang__spice,C++,426,2320,865,0,11,158,7
sssomeone__manifold-knn,C++,165,323,213,0,4,35,0
Stellarlyacrochet22__hardware-id-manager,C++,175,343,213,0,5,42,0
Stewie-pixel__claude-with-leetcode,C++,4,8,5,0,0,0,0
substrait-io__substrait-mlir-contrib,C++,117,124,128,0,2,24,0
suprepupre__wow-optimize,C++,371,268,1227,0,4,33,0
tatami-inc__tatami,C++,340,503,477,0,4,162,0
TensoriumCore__Tensorium_lib,C++,448,695,817,0,4,45,0
tentris__rdf4cpp,C++,499,1365,566,0,5,75,0
tile-ai__tilelang-mlir-ascend,C++,476,1618,1007,0,5,110,0
trailcode__EzyCad,C++,380,1671,487,0,11,75,0
triton-inference-server__redis_cache,C++,151,241,192,0,4,33,0
Vaei__Grasp,C++,0,0,0,0,0,0,0
Vatrials__League-of-Legends-Visuals-Cheat,C++,272,475,345,0,5,48,0
vidextreme__xge,C++,505,1116,2612,0,8,52,0
vituha230__Neuro-Skyrim-Integration,C++,234,386,371,0,4,36,0
vllm-project__vllm-xpu-kernels,C++,280,417,459,0,4,57,0
walbourn__contentexporter,C++,208,584,582,0,7,42,1
wichtounet__swr-calculator,C++,210,379,382,0,4,41,0
wlejon__bro,C++,481,1740,1120,0,7,68,0
wol-fi__volfi,C++,189,323,287,0,4,36,0
wufhex__Mystic-xorstr,C++,137,226,161,0,4,33,0
xioTechnologies__x-IMU3-Software,C++,441,1052,533,0,7,134,6
yamacir-kit__meevax,C++,333,717,423,0,8,56,0
yhirose__cpp-llamalib,C++,237,384,246,0,9,44,0
ziyarago__RisalDash,C++,164,476,180,0,2,53,0
zushinzackery2-ship-it__Unity202x-eXternalrEsolve,C++,296,459,630,0,6,46,0
